,sensorID,streetName,sensorCoordinates,sensorType,unitMeasure,cellId
0,6645,Pero,<shapely.coords.CoordinateSequence object at 0x7f72712f8d90>,Particolato Totale Sospeso,µg/m³,7227
0,20020,Milano - Pascal Città Studi,<shapely.coords.CoordinateSequence object at 0x7f72712f8a10>,Ammoniaca,µg/m³,5775
0,6637,Milano - via Juvara,<shapely.coords.CoordinateSequence object at 0x7f72712f8c90>,Particolato Totale Sospeso,µg/m³,5571
0,6316,Lainate,<shapely.coords.CoordinateSequence object at 0x7f72712f8f10>,Ossidi di Azoto,µg/m³,9905
0,6909,Arese,<shapely.coords.CoordinateSequence object at 0x7f72712f8f90>,PM10 (SM2005),µg/m³,8823
0,5552,Milano - P.zza Abbiategrasso,<shapely.coords.CoordinateSequence object at 0x7f72712f8e90>,Biossido di Azoto,µg/m³,3557
0,6905,Milano - via Juvara,<shapely.coords.CoordinateSequence object at 0x7f72712f8cd0>,PM10 (SM2005),µg/m³,5571
0,5551,Milano - via Senato,<shapely.coords.CoordinateSequence object at 0x7f72712f80d0>,Biossido di Azoto,µg/m³,5362
0,5827,Milano - viale Marche,<shapely.coords.CoordinateSequence object at 0x7f72712f8fd0>,Monossido di Carbonio,mg/m³,6660
0,6057,Milano - via Senato,<shapely.coords.CoordinateSequence object at 0x7f7271300250>,Benzene,µg/m³,5362
0,5722,Milano - Parco Lambro,<shapely.coords.CoordinateSequence object at 0x7f72712f8690>,Ozono,µg/m³,6779
0,6646,Rho - via Statuto,<shapely.coords.CoordinateSequence object at 0x7f7271300490>,Particolato Totale Sospeso,µg/m³,7811
0,12626,Milano - Pascal Città Studi,<shapely.coords.CoordinateSequence object at 0x7f72713003d0>,Cadmio,ng/m³,5775
0,12625,Milano - Pascal Città Studi,<shapely.coords.CoordinateSequence object at 0x7f7271300450>,Arsenico,ng/m³,5775
0,5855,Lainate,<shapely.coords.CoordinateSequence object at 0x7f7271300310>,Monossido di Carbonio,mg/m³,9905
0,5550,Milano - Parco Lambro,<shapely.coords.CoordinateSequence object at 0x7f7271300510>,Biossido di Azoto,µg/m³,6779
0,5818,Cinisello Balsamo,<shapely.coords.CoordinateSequence object at 0x7f72713004d0>,Monossido di Carbonio,mg/m³,9272
0,5637,Milano - P.zza Abbiategrasso,<shapely.coords.CoordinateSequence object at 0x7f7271300150>,Biossido di Zolfo,µg/m³,3557
0,5517,Rho - via Statuto,<shapely.coords.CoordinateSequence object at 0x7f7271300810>,Biossido di Azoto,µg/m³,7811
0,5504,Milano - viale Marche,<shapely.coords.CoordinateSequence object at 0x7f7271300350>,Biossido di Azoto,µg/m³,6660
0,17122,Milano - via Senato,<shapely.coords.CoordinateSequence object at 0x7f7271300910>,Particelle sospese PM2.5,µg/m³,5362
0,5838,Milano - Verziere,<shapely.coords.CoordinateSequence object at 0x7f7271300850>,Monossido di Carbonio,mg/m³,5062
0,6366,Milano - Verziere,<shapely.coords.CoordinateSequence object at 0x7f7271300a10>,Ossidi di Azoto,µg/m³,5062
0,9874,Milano - via Juvara,<shapely.coords.CoordinateSequence object at 0x7f7271300750>,Particelle sospese PM2.5,µg/m³,5571
0,5836,Settimo Milanese,<shapely.coords.CoordinateSequence object at 0x7f7271300b10>,Monossido di Carbonio,mg/m³,5816
0,10269,Milano - via Juvara,<shapely.coords.CoordinateSequence object at 0x7f7271300a90>,Ammoniaca,µg/m³,5571
0,5613,Arese,<shapely.coords.CoordinateSequence object at 0x7f7271300ad0>,Biossido di Zolfo,µg/m³,8823
0,5541,Settimo Milanese,<shapely.coords.CoordinateSequence object at 0x7f7271300c90>,Biossido di Azoto,µg/m³,5816
0,5841,Milano - P.zza  Zavattari,<shapely.coords.CoordinateSequence object at 0x7f7271300950>,Monossido di Carbonio,mg/m³,5644
0,12638,Milano - via Senato,<shapely.coords.CoordinateSequence object at 0x7f7271300c50>,Arsenico,ng/m³,5362
